 ;Area;Mean;Min;Max;X;y
Ji_5_m;0;173;173;173;2004.000;493.000
Ji_5_m;0;170;170;170;2019.000;655.000
Ji_5_m;0;173;173;173;2014.000;772.000
Ji_5_m;0;173;173;173;2000.000;857.000
Ji_5_m;0;173;173;173;1997.000;939.000
Ji_5_m;0;173;173;173;1996.000;1010.000
Ji_5_m;0;173;173;173;1992.000;1085.000
Ji_5_m;0;173;173;173;1986.000;1142.000
Ji_5_m;0;173;173;173;1982.000;1229.000
Ji_5_m;0;173;173;173;1977.000;1583.000
Ji_5_m;0;173;173;173;1712.000;1312.000
Ji_5_m;0;173;173;173;1685.667;1244.667
Ji_5_m;0;173;173;173;1699.000;1148.667
Ji_5_m;0;173;173;173;1720.333;1057.000
Ji_5_m;0;173;173;173;1737.667;947.333
Ji_5_m;0;173;173;173;1749.667;890.667
Ji_5_m;0;173;173;173;1741.000;806.667
Ji_5_m;0;173;173;173;1763.667;702.000
Ji_5_m;0;173;173;173;1895.000;617.333
Ji_5_m;0;173;173;173;2174.000;608.667
Ji_5_m;0;173;173;173;2241.333;697.333
Ji_5_m;0;173;173;173;2260.667;808.667
Ji_5_m;0;173;173;173;2254.667;908.000
Ji_5_m;0;173;173;173;2256.000;988.000
Ji_5_m;0;173;173;173;2259.333;1061.000
Ji_5_m;0;173;173;173;2260.667;1115.667
Ji_5_m;0;173;173;173;2238.000;1230.000
Ji_5_m;0;173;173;173;2219.333;1317.667
