 ;Area;Mean;Min;Max;X;Y
Ji_2_f;0;173;173;173;813;1560
Ji_2_f;0;173;173;173;849;1419
Ji_2_f;0;173;173;173;858;1284
Ji_2_f;0;173;173;173;864;1125
Ji_2_f;0;173;173;173;876;945
Ji_2_f;0;173;173;173;879;822
Ji_2_f;0;173;173;173;891;726
Ji_2_f;0;173;173;173;894;645
Ji_2_f;0;173;173;173;897;531
Ji_2_f;0;173;173;173;921;144
Ji_2_f;0;173;173;173;627;306
Ji_2_f;0;173;173;173;573;402
Ji_2_f;0;173;173;173;528;579
Ji_2_f;0;173;173;173;525;696
Ji_2_f;0;173;173;173;513;822
Ji_2_f;0;173;173;173;468;975
Ji_2_f;0;173;173;173;474;1170
Ji_2_f;0;173;173;173;540;1335
Ji_2_f;0;173;173;173;645;1452
Ji_2_f;0;173;173;173;987;1473
Ji_2_f;0;173;173;173;1128;1383
Ji_2_f;0;173;173;173;1197;1206
Ji_2_f;0;173;173;173;1236;1020
Ji_2_f;0;173;173;173;1242;900
Ji_2_f;0;173;173;173;1245;738
Ji_2_f;0;173;173;173;1245;639
Ji_2_f;0;173;173;173;1230;486
Ji_2_f;0;173;173;173;1167;360
