ID;Area;Mean;Min;Max;X;Y
Jp_2_m;0;173;173;173;1909.333;524.000
Jp_2_m;0;170;170;170;1892.000;617.333
Jp_2_m;0;173;173;173;1877.333;705.333
Jp_2_m;0;173;173;173;1861.333;769.333
Jp_2_m;0;173;173;173;1856.000;820.000
Jp_2_m;0;173;173;173;1850.667;876.000
Jp_2_m;0;173;173;173;1841.333;921.333
Jp_2_m;0;173;173;173;1838.667;976.000
Jp_2_m;0;173;173;173;1820.000;1054.667
Jp_2_m;0;173;173;173;1770.667;1323.667
Jp_2_m;0;173;173;173;1610.667;1108.333
Jp_2_m;0;173;173;173;1606.667;1028.333
Jp_2_m;0;173;173;173;1632.000;949.667
Jp_2_m;0;173;173;173;1661.333;889.667
Jp_2_m;0;173;173;173;1665.333;835.333
Jp_2_m;0;173;173;173;1676.000;763.333
Jp_2_m;0;173;173;173;1688.000;706.000
Jp_2_m;0;173;173;173;1720.000;620.000
Jp_2_m;0;173;173;173;1780.000;554.667
Jp_2_m;0;173;173;173;1993.333;589.333
Jp_2_m;0;173;173;173;2030.667;657.333
Jp_2_m;0;173;173;173;2048.000;741.333
Jp_2_m;0;173;173;173;2041.333;810.667
Jp_2_m;0;173;173;173;2033.333;876.000
Jp_2_m;0;173;173;173;2044.000;944.000
Jp_2_m;0;173;173;173;2036.000;1013.000
Jp_2_m;0;173;173;173;2010.667;1107.667
Jp_2_m;0;173;173;173;1989.333;1170.333
