ID;Area;Mean;Min;Max;X;Y
Ji_1_m;0;173;173;173;1617;411
Ji_1_m;0;170;170;170;1632;576
Ji_1_m;0;173;173;173;1629;693
Ji_1_m;0;173;173;173;1629;756
Ji_1_m;0;173;173;173;1626;834
Ji_1_m;0;173;173;173;1620;897
Ji_1_m;0;173;173;173;1617;960
Ji_1_m;0;173;173;173;1617;1017
Ji_1_m;0;173;173;173;1614;1083
Ji_1_m;0;173;173;173;1593;1422
Ji_1_m;0;173;173;173;1353;1218
Ji_1_m;0;173;173;173;1326;1125
Ji_1_m;0;173;173;173;1353;969
Ji_1_m;0;173;173;173;1353;903
Ji_1_m;0;173;173;173;1371;852
Ji_1_m;0;173;173;173;1368;792
Ji_1_m;0;173;173;173;1383;717
Ji_1_m;0;173;173;173;1389;606
Ji_1_m;0;173;173;173;1470;513
Ji_1_m;0;173;173;173;1761;507
Ji_1_m;0;173;173;173;1839;597
Ji_1_m;0;173;173;173;1842;708
Ji_1_m;0;173;173;173;1863;771
Ji_1_m;0;173;173;173;1857;882
Ji_1_m;0;173;173;173;1851;939
Ji_1_m;0;173;173;173;1821;1011
Ji_1_m;0;173;173;173;1863;1152
Ji_1_m;0;173;173;173;1812;1248
