ID;Area;Mean;Min;Max;X;Y
Jp_6_m;0;173;173;173;1959.667;604.000
Jp_6_m;0;170;170;170;1945.667;732.000
Jp_6_m;0;173;173;173;1925.000;848.667
Jp_6_m;0;173;173;173;1909.000;915.333
Jp_6_m;0;173;173;173;1895.667;987.333
Jp_6_m;0;173;173;173;1882.333;1059.333
Jp_6_m;0;173;173;173;1875.000;1119.667
Jp_6_m;0;173;173;173;1867.667;1178.333
Jp_6_m;0;173;173;173;1844.333;1260.333
Jp_6_m;0;173;173;173;1792.333;1556.333
Jp_6_m;0;173;173;173;1604.667;1345.333
Jp_6_m;0;173;173;173;1595.333;1269.667
Jp_6_m;0;173;173;173;1622.000;1146.000
Jp_6_m;0;173;173;173;1646.667;1049.333
Jp_6_m;0;173;173;173;1662.667;1002.667
Jp_6_m;0;173;173;173;1668.667;935.000
Jp_6_m;0;173;173;173;1704.000;841.667
Jp_6_m;0;173;173;173;1730.000;749.667
Jp_6_m;0;173;173;173;1803.333;666.333
Jp_6_m;0;173;173;173;2069.333;719.333
Jp_6_m;0;173;173;173;2104.000;818.667
Jp_6_m;0;173;173;173;2103.333;915.667
Jp_6_m;0;173;173;173;2094.667;995.667
Jp_6_m;0;173;173;173;2089.333;1058.667
Jp_6_m;0;173;173;173;2112.667;1141.333
Jp_6_m;0;173;173;173;2096.000;1228.333
Jp_6_m;0;173;173;173;2085.333;1331.000
Jp_6_m;0;173;173;173;2037.333;1396.333
