 ,Area,Mean,Min,Max,X,Y
1,0,173,173,173,1959.667,604.000
2,0,170,170,170,1945.667,732.000
3,0,173,173,173,1925.000,848.667
4,0,173,173,173,1909.000,915.333
5,0,173,173,173,1895.667,987.333
6,0,173,173,173,1882.333,1059.333
7,0,173,173,173,1875.000,1119.667
8,0,173,173,173,1867.667,1178.333
9,0,173,173,173,1844.333,1260.333
10,0,173,173,173,1792.333,1556.333
11,0,173,173,173,1604.667,1345.333
12,0,173,173,173,1595.333,1269.667
13,0,173,173,173,1622.000,1146.000
14,0,173,173,173,1646.667,1049.333
15,0,173,173,173,1662.667,1002.667
16,0,173,173,173,1668.667,935.000
17,0,173,173,173,1704.000,841.667
18,0,173,173,173,1730.000,749.667
19,0,173,173,173,1803.333,666.333
20,0,173,173,173,2069.333,719.333
21,0,173,173,173,2104.000,818.667
22,0,173,173,173,2103.333,915.667
23,0,173,173,173,2094.667,995.667
24,0,173,173,173,2089.333,1058.667
25,0,173,173,173,2112.667,1141.333
26,0,173,173,173,2096.000,1228.333
27,0,173,173,173,2085.333,1331.000
28,0,173,173,173,2037.333,1396.333
