 ,Area,Mean,Min,Max,X,Y
1,0,173,173,173,1925,627
2,0,170,170,170,1907,745
3,0,173,173,173,1891,828
4,0,173,173,173,1882,897
5,0,173,173,173,1871,964
6,0,173,173,173,1866,1020
7,0,173,173,173,1858,1084
8,0,173,173,173,1852,1149
9,0,173,173,173,1843,1215
10,0,173,173,173,1825,1470
11,0,173,173,173,1653,1309
12,0,173,173,173,1626,1240
13,0,173,173,173,1652,1115
14,0,173,173,173,1663,1052
15,0,173,173,173,1675,983
16,0,173,173,173,1676,917
17,0,173,173,173,1693,843
18,0,173,173,173,1727,759
19,0,173,173,173,1797,680
20,0,173,173,173,2026,718
21,0,173,173,173,2055,811
22,0,173,173,173,2077,882
23,0,173,173,173,2065,966
24,0,173,173,173,2062,1019
25,0,173,173,173,2069,1089
26,0,173,173,173,2054,1166
27,0,173,173,173,2049,1253
28,0,173,173,173,2005,1322
