 ,Area,Mean,Min,Max,X,Y
1,0,173,173,173,1958,522
2,0,170,170,170,1929,653
3,0,173,173,173,1914,764
4,0,173,173,173,1902,833
5,0,173,173,173,1894,906
6,0,173,173,173,1880,970
7,0,173,173,173,1875,1027
8,0,173,173,173,1869,1079
9,0,173,173,173,1854,1165
10,0,173,173,173,1822,1446
11,0,173,173,173,1646,1240
12,0,173,173,173,1623,1177
13,0,173,173,173,1645,1070
14,0,173,173,173,1664,974
15,0,173,173,173,1678,910
16,0,173,173,173,1701,835
17,0,173,173,173,1705,750
18,0,173,173,173,1731,660
19,0,173,173,173,1809,581
20,0,173,173,173,2068,640
21,0,173,173,173,2096,737
22,0,173,173,173,2091,825
23,0,173,173,173,2083,891
24,0,173,173,173,2069,955
25,0,173,173,173,2066,1011
26,0,173,173,173,2066,1087
27,0,173,173,173,2072,1189
28,0,173,173,173,2065,1251
