 ;Area;Mean;Min;Max;X;Y
Ja_3_m;0;173;173;173;1700.5;314.5
Ja_3_m;0;170;170;170;1676.5;485.5
Ja_3_m;0;173;173;173;1658.5;578.5
Ja_3_m;0;173;173;173;1652.5;668.5
Ja_3_m;0;173;173;173;1643.5;722.5
Ja_3_m;0;173;173;173;1631.5;809.5
Ja_3_m;0;173;173;173;1625.5;878.5
Ja_3_m;0;173;173;173;1616.5;932.5
Ja_3_m;0;173;173;173;1619.5;986.5
Ja_3_m;0;173;173;173;1574.5;1307.5
Ja_3_m;0;173;173;173;1394.5;1085.5
Ja_3_m;0;173;173;173;1382.5;977.5
Ja_3_m;0;173;173;173;1397.5;893.5
Ja_3_m;0;173;173;173;1391.5;830.5
Ja_3_m;0;173;173;173;1400.5;749.5
Ja_3_m;0;173;173;173;1409.5;671.5
Ja_3_m;0;173;173;173;1436.5;599.5
Ja_3_m;0;173;173;173;1469.5;494.5
Ja_3_m;0;173;173;173;1556.5;422.5
Ja_3_m;0;173;173;173;1805.5;455.5
Ja_3_m;0;173;173;173;1865.5;539.5
Ja_3_m;0;173;173;173;1871.5;662.5
Ja_3_m;0;173;173;173;1862.5;746.5
Ja_3_m;0;173;173;173;1844.5;812.5
Ja_3_m;0;173;173;173;1853.5;872.5
Ja_3_m;0;173;173;173;1841.5;953.5
Ja_3_m;0;173;173;173;1835.5;1052.5
Ja_3_m;0;173;173;173;1799.5;1142.5
