" ;Area;Mean;Min;Max;X;Y"
"1;0;173;173;173;509.500;1382.500"
"2;0;173;173;173;623.500;1196.500"
"3;0;173;173;173;638.500;1076.500"
"4;0;173;173;173;659.500;956.500"
"5;0;173;173;173;689.500;845.500"
"6;0;173;173;173;701.500;737.500"
"7;0;173;173;173;713.500;644.500"
"8;0;173;173;173;725.500;536.500"
"9;0;173;173;173;746.500;470.500"
"10;0;173;173;173;761.500;110.500"
"11;0;173;173;173;485.500;314.500"
"12;0;173;173;173;431.500;428.500"
"13;0;173;173;173;401.500;545.500"
"14;0;173;173;173;386.500;662.500"
"15;0;173;173;173;329.500;785.500"
"16;0;173;173;173;374.500;902.500"
"17;0;173;173;173;311.500;1031.500"
"18;0;173;173;173;332.500;1172.500"
"19;0;173;173;173;398.500;1274.500"
"20;0;173;173;173;683.500;1385.500"
"21;0;173;173;173;821.500;1298.500"
"22;0;173;173;173;887.500;1169.500"
"23;0;173;173;173;986.500;1052.500"
"24;0;173;173;173;983.500;881.500"
"25;0;173;173;173;998.500;740.500"
"26;0;173;173;173;1007.500;638.500"
"27;0;173;173;173;998.500;518.500"
"28;0;173;173;173;983.500;389.500"
