" ;Area;Mean;Min;Max;X;Y"
"1;0;173;173;173;1632.000;675.000"
"2;0;170;170;170;1664.500;809.500"
"3;0;173;173;173;1697.500;884.500"
"4;0;173;173;173;1712.500;965.500"
"5;0;173;173;173;1727.500;1034.500"
"6;0;173;173;173;1736.500;1097.500"
"7;0;173;173;173;1745.500;1148.500"
"8;0;173;173;173;1748.500;1193.500"
"9;0;173;173;173;1760.500;1247.500"
"10;0;173;173;173;1865.500;1556.500"
"11;0;173;173;173;1571.500;1373.500"
"12;0;173;173;173;1526.500;1316.500"
"13;0;173;173;173;1508.500;1229.500"
"14;0;173;173;173;1508.500;1151.500"
"15;0;173;173;173;1493.500;1088.500"
"16;0;173;173;173;1496.500;1040.500"
"17;0;173;173;173;1490.500;947.500"
"18;0;173;173;173;1493.500;872.500"
"19;0;173;173;173;1538.500;779.500"
"20;0;173;173;173;1787.500;728.500"
"21;0;173;173;173;1886.500;797.500"
"22;0;173;173;173;1907.500;857.500"
"23;0;173;173;173;1943.500;932.500"
"24;0;173;173;173;1952.500;980.500"
"25;0;173;173;173;1973.500;1052.500"
"26;0;173;173;173;1991.500;1133.500"
"27;0;173;173;173;2000.500;1208.500"
"28;0;173;173;173;1994.500;1277.500"
