Specias;Sex;ID;Area;Mean;Min;Max;X;Y
Ji;m;Ji_1_m;0;173;173;173;1617;411
Ji;m;Ji_1_m;0;170;170;170;1632;576
Ji;m;Ji_1_m;0;173;173;173;1629;693
Ji;m;Ji_1_m;0;173;173;173;1629;756
Ji;m;Ji_1_m;0;173;173;173;1626;834
Ji;m;Ji_1_m;0;173;173;173;1620;897
Ji;m;Ji_1_m;0;173;173;173;1617;960
Ji;m;Ji_1_m;0;173;173;173;1617;1017
Ji;m;Ji_1_m;0;173;173;173;1614;1083
Ji;m;Ji_1_m;0;173;173;173;1593;1422
Ji;m;Ji_1_m;0;173;173;173;1353;1218
Ji;m;Ji_1_m;0;173;173;173;1326;1125
Ji;m;Ji_1_m;0;173;173;173;1353;969
Ji;m;Ji_1_m;0;173;173;173;1353;903
Ji;m;Ji_1_m;0;173;173;173;1371;852
Ji;m;Ji_1_m;0;173;173;173;1368;792
Ji;m;Ji_1_m;0;173;173;173;1383;717
Ji;m;Ji_1_m;0;173;173;173;1389;606
Ji;m;Ji_1_m;0;173;173;173;1470;513
Ji;m;Ji_1_m;0;173;173;173;1761;507
Ji;m;Ji_1_m;0;173;173;173;1839;597
Ji;m;Ji_1_m;0;173;173;173;1842;708
Ji;m;Ji_1_m;0;173;173;173;1863;771
Ji;m;Ji_1_m;0;173;173;173;1857;882
Ji;m;Ji_1_m;0;173;173;173;1851;939
Ji;m;Ji_1_m;0;173;173;173;1821;1011
Ji;m;Ji_1_m;0;173;173;173;1863;1152
Ji;m;Ji_1_m;0;173;173;173;1812;1248
Ji;f;Ji_1_f;0;173;173;173;582;1560
Ji;f;Ji_1_f;0;173;173;173;633;1293
Ji;f;Ji_1_f;0;173;173;173;630;1182
Ji;f;Ji_1_f;0;173;173;173;642;1080
Ji;f;Ji_1_f;0;173;173;173;654;936
Ji;f;Ji_1_f;0;173;173;173;660;789
Ji;f;Ji_1_f;0;173;173;173;675;711
Ji;f;Ji_1_f;0;173;173;173;681;606
Ji;f;Ji_1_f;0;173;173;173;690;504
Ji;f;Ji_1_f;0;173;173;173;726;111
Ji;f;Ji_1_f;0;173;173;173;474;312
Ji;f;Ji_1_f;0;173;173;173;348;432
Ji;f;Ji_1_f;0;173;173;173;318;573
Ji;f;Ji_1_f;0;173;173;173;315;699
Ji;f;Ji_1_f;0;173;173;173;267;774
Ji;f;Ji_1_f;0;173;173;173;255;933
Ji;f;Ji_1_f;0;173;173;173;252;1116
Ji;f;Ji_1_f;0;173;173;173;306;1272
Ji;f;Ji_1_f;0;173;173;173;426;1410
Ji;f;Ji_1_f;0;173;173;173;762;1413
Ji;f;Ji_1_f;0;173;173;173;870;1341
Ji;f;Ji_1_f;0;173;173;173;984;1197
Ji;f;Ji_1_f;0;173;173;173;999;1041
Ji;f;Ji_1_f;0;173;173;173;999;885
Ji;f;Ji_1_f;0;173;173;173;1002;738
Ji;f;Ji_1_f;0;173;173;173;993;627
Ji;f;Ji_1_f;0;173;173;173;990;480
Ji;f;Ji_1_f;0;173;173;173;960;372
Ji;f;Ji_2_f;0;173;173;173;813;1560
Ji;f;Ji_2_f;0;173;173;173;849;1419
Ji;f;Ji_2_f;0;173;173;173;858;1284
Ji;f;Ji_2_f;0;173;173;173;864;1125
Ji;f;Ji_2_f;0;173;173;173;876;945
Ji;f;Ji_2_f;0;173;173;173;879;822
Ji;f;Ji_2_f;0;173;173;173;891;726
Ji;f;Ji_2_f;0;173;173;173;894;645
Ji;f;Ji_2_f;0;173;173;173;897;531
Ji;f;Ji_2_f;0;173;173;173;921;144
Ji;f;Ji_2_f;0;173;173;173;627;306
Ji;f;Ji_2_f;0;173;173;173;573;402
Ji;f;Ji_2_f;0;173;173;173;528;579
Ji;f;Ji_2_f;0;173;173;173;525;696
Ji;f;Ji_2_f;0;173;173;173;513;822
Ji;f;Ji_2_f;0;173;173;173;468;975
Ji;f;Ji_2_f;0;173;173;173;474;1170
Ji;f;Ji_2_f;0;173;173;173;540;1335
Ji;f;Ji_2_f;0;173;173;173;645;1452
Ji;f;Ji_2_f;0;173;173;173;987;1473
Ji;f;Ji_2_f;0;173;173;173;1128;1383
Ji;f;Ji_2_f;0;173;173;173;1197;1206
Ji;f;Ji_2_f;0;173;173;173;1236;1020
Ji;f;Ji_2_f;0;173;173;173;1242;900
Ji;f;Ji_2_f;0;173;173;173;1245;738
Ji;f;Ji_2_f;0;173;173;173;1245;639
Ji;f;Ji_2_f;0;173;173;173;1230;486
Ji;f;Ji_2_f;0;173;173;173;1167;360
Ji;m;Ji_2_m;0;173;173;173;1950;651
Ji;m;Ji_2_m;0;170;170;170;1959;762
Ji;m;Ji_2_m;0;173;173;173;1953;864
Ji;m;Ji_2_m;0;173;173;173;1956;933
Ji;m;Ji_2_m;0;173;173;173;1953;993
Ji;m;Ji_2_m;0;173;173;173;1947;1062
Ji;m;Ji_2_m;0;173;173;173;1944;1122
Ji;m;Ji_2_m;0;173;173;173;1941;1176
Ji;m;Ji_2_m;0;173;173;173;1932;1236
Ji;m;Ji_2_m;0;173;173;173;1938;1503
Ji;m;Ji_2_m;0;173;173;173;1707;1323
Ji;m;Ji_2_m;0;173;173;173;1686;1239
Ji;m;Ji_2_m;0;173;173;173;1683;1143
Ji;m;Ji_2_m;0;173;173;173;1689;1071
Ji;m;Ji_2_m;0;173;173;173;1710;1002
Ji;m;Ji_2_m;0;173;173;173;1698;945
Ji;m;Ji_2_m;0;173;173;173;1719;858
Ji;m;Ji_2_m;0;173;173;173;1746;786
Ji;m;Ji_2_m;0;173;173;173;1818;723
Ji;m;Ji_2_m;0;173;173;173;2082;735
Ji;m;Ji_2_m;0;173;173;173;2139;816
Ji;m;Ji_2_m;0;173;173;173;2160;891
Ji;m;Ji_2_m;0;173;173;173;2178;972
Ji;m;Ji_2_m;0;173;173;173;2178;1029
Ji;m;Ji_2_m;0;173;173;173;2184;1092
Ji;m;Ji_2_m;0;173;173;173;2184;1164
Ji;m;Ji_2_m;0;173;173;173;2172;1269
Ji;m;Ji_2_m;0;173;173;173;2130;1356
Ji;f;Ji_3_f;0;173;173;173;870;1632
Ji;f;Ji_3_f;0;173;173;173;876;1494
Ji;f;Ji_3_f;0;173;173;173;915;1302
Ji;f;Ji_3_f;0;173;173;173;927;1155
Ji;f;Ji_3_f;0;173;173;173;939;993
Ji;f;Ji_3_f;0;173;173;173;945;855
Ji;f;Ji_3_f;0;173;173;173;945;765
Ji;f;Ji_3_f;0;173;173;173;945;660
Ji;f;Ji_3_f;0;173;173;173;939;576
Ji;f;Ji_3_f;0;173;173;173;993;156
Ji;f;Ji_3_f;0;173;173;173;693;390
Ji;f;Ji_3_f;0;173;173;173;621;486
Ji;f;Ji_3_f;0;173;173;173;576;657
Ji;f;Ji_3_f;0;173;173;173;573;789
Ji;f;Ji_3_f;0;173;173;173;543;897
Ji;f;Ji_3_f;0;173;173;173;513;1035
Ji;f;Ji_3_f;0;173;173;173;534;1218
Ji;f;Ji_3_f;0;173;173;173;603;1383
Ji;f;Ji_3_f;0;173;173;173;705;1500
Ji;f;Ji_3_f;0;173;173;173;1038;1518
Ji;f;Ji_3_f;0;173;173;173;1146;1416
Ji;f;Ji_3_f;0;173;173;173;1221;1254
Ji;f;Ji_3_f;0;173;173;173;1263;1056
Ji;f;Ji_3_f;0;173;173;173;1266;906
Ji;f;Ji_3_f;0;173;173;173;1266;813
Ji;f;Ji_3_f;0;173;173;173;1284;696
Ji;f;Ji_3_f;0;173;173;173;1269;534
Ji;f;Ji_3_f;0;173;173;173;1230;441
Ji;m;Ji_3_m;0;173;173;173;1894.667;598.667
Ji;m;Ji_3_m;0;170;170;170;1934.667;760
Ji;m;Ji_3_m;0;173;173;173;1936;822.667
Ji;m;Ji_3_m;0;173;173;173;1933.333;880
Ji;m;Ji_3_m;0;173;173;173;1929.333;937.333
Ji;m;Ji_3_m;0;173;173;173;1933.333;982.667
Ji;m;Ji_3_m;0;173;173;173;1930.667;1049.333
Ji;m;Ji_3_m;0;173;173;173;1929.333;1120
Ji;m;Ji_3_m;0;173;173;173;1930.667;1193.333
Ji;m;Ji_3_m;0;173;173;173;1910.667;1427.667
Ji;m;Ji_3_m;0;173;173;173;1724;1243.667
Ji;m;Ji_3_m;0;173;173;173;1706.667;1193
Ji;m;Ji_3_m;0;173;173;173;1713.333;1085
Ji;m;Ji_3_m;0;173;173;173;1720;1009
Ji;m;Ji_3_m;0;173;173;173;1725.333;959.667
Ji;m;Ji_3_m;0;173;173;173;1728;903.667
Ji;m;Ji_3_m;0;173;173;173;1725.333;837
Ji;m;Ji_3_m;0;173;173;173;1738.667;751.333
Ji;m;Ji_3_m;0;173;173;173;1796;687.333
Ji;m;Ji_3_m;0;173;173;173;1996;686
Ji;m;Ji_3_m;0;173;173;173;2080;762
Ji;m;Ji_3_m;0;173;173;173;2096;843.333
Ji;m;Ji_3_m;0;173;173;173;2098.667;896.667
Ji;m;Ji_3_m;0;173;173;173;2102.667;948.667
Ji;m;Ji_3_m;0;173;173;173;2109.333;1010
Ji;m;Ji_3_m;0;173;173;173;2118.667;1091.333
Ji;m;Ji_3_m;0;173;173;173;2118.667;1183.333
Ji;m;Ji_3_m;0;173;173;173;2100;1266
Ji;f;Ji_4_f;0;173;173;173;846.333;1773.667
Ji;f;Ji_4_f;0;173;173;173;855.667;1643
Ji;f;Ji_4_f;0;173;173;173;887.667;1433.667
Ji;f;Ji_4_f;0;173;173;173;897;1289.667
Ji;f;Ji_4_f;0;173;173;173;906.333;1129.667
Ji;f;Ji_4_f;0;173;173;173;913;965
Ji;f;Ji_4_f;0;173;173;173;921;879.667
Ji;f;Ji_4_f;0;173;173;173;929;774.333
Ji;f;Ji_4_f;0;173;173;173;937;674.333
Ji;f;Ji_4_f;0;173;173;173;967.667;242.333
Ji;f;Ji_4_f;0;173;173;173;613;527.333
Ji;f;Ji_4_f;0;173;173;173;605;594
Ji;f;Ji_4_f;0;173;173;173;567.667;734
Ji;f;Ji_4_f;0;173;173;173;550.333;865.333
Ji;f;Ji_4_f;0;173;173;173;518.333;981.333
Ji;f;Ji_4_f;0;173;173;173;503.667;1140.667
Ji;f;Ji_4_f;0;173;173;173;523.667;1333.333
Ji;f;Ji_4_f;0;173;173;173;571.667;1498.667
Ji;f;Ji_4_f;0;173;173;173;682.333;1638
Ji;f;Ji_4_f;0;173;173;173;1023.667;1671.333
Ji;f;Ji_4_f;0;173;173;173;1155.667;1559.333
Ji;f;Ji_4_f;0;173;173;173;1235.667;1394
Ji;f;Ji_4_f;0;173;173;173;1262.333;1217.333
Ji;f;Ji_4_f;0;173;173;173;1298.333;1070
Ji;f;Ji_4_f;0;173;173;173;1273;950
Ji;f;Ji_4_f;0;173;173;173;1289;828.667
Ji;f;Ji_4_f;0;173;173;173;1286.333;674
Ji;f;Ji_4_f;0;173;173;173;1245;538
Ji;m;Ji_4_m;0;173;173;173;1965;532
Ji;m;Ji_4_m;0;170;170;170;1980;709
Ji;m;Ji_4_m;0;173;173;173;1972;790
