" ;Area;Mean;Min;Max;X;Y"
"1;0;173;173;173;846.333;1773.667"
"2;0;173;173;173;855.667;1643.000"
"3;0;173;173;173;887.667;1433.667"
"4;0;173;173;173;897.000;1289.667"
"5;0;173;173;173;906.333;1129.667"
"6;0;173;173;173;913.000;965.000"
"7;0;173;173;173;921.000;879.667"
"8;0;173;173;173;929.000;774.333"
"9;0;173;173;173;937.000;674.333"
"10;0;173;173;173;967.667;242.333"
"11;0;173;173;173;613.000;527.333"
"12;0;173;173;173;605.000;594.000"
"13;0;173;173;173;567.667;734.000"
"14;0;173;173;173;550.333;865.333"
"15;0;173;173;173;518.333;981.333"
"16;0;173;173;173;503.667;1140.667"
"17;0;173;173;173;523.667;1333.333"
"18;0;173;173;173;571.667;1498.667"
"19;0;173;173;173;682.333;1638.000"
"20;0;173;173;173;1023.667;1671.333"
"21;0;173;173;173;1155.667;1559.333"
"22;0;173;173;173;1235.667;1394.000"
"23;0;173;173;173;1262.333;1217.333"
"24;0;173;173;173;1298.333;1070.000"
"25;0;173;173;173;1273.000;950.000"
"26;0;173;173;173;1289.000;828.667"
"27;0;173;173;173;1286.333;674.000"
"28;0;173;173;173;1245.000;538.000"
