 
"1;0;173;173;173;2004.000;493.000"
"2;0;170;170;170;2019.000;655.000"
"3;0;173;173;173;2014.000;772.000"
"4;0;173;173;173;2000.000;857.000"
"5;0;173;173;173;1997.000;939.000"
"6;0;173;173;173;1996.000;1010.000"
"7;0;173;173;173;1992.000;1085.000"
"8;0;173;173;173;1986.000;1142.000"
"9;0;173;173;173;1982.000;1229.000"
"10;0;173;173;173;1977.000;1583.000"
"11;0;173;173;173;1712.000;1312.000"
"12;0;173;173;173;1685.667;1244.667"
"13;0;173;173;173;1699.000;1148.667"
"14;0;173;173;173;1720.333;1057.000"
"15;0;173;173;173;1737.667;947.333"
"16;0;173;173;173;1749.667;890.667"
"17;0;173;173;173;1741.000;806.667"
"18;0;173;173;173;1763.667;702.000"
"19;0;173;173;173;1895.000;617.333"
"20;0;173;173;173;2174.000;608.667"
"21;0;173;173;173;2241.333;697.333"
"22;0;173;173;173;2260.667;808.667"
"23;0;173;173;173;2254.667;908.000"
"24;0;173;173;173;2256.000;988.000"
"25;0;173;173;173;2259.333;1061.000"
"26;0;173;173;173;2260.667;1115.667"
"27;0;173;173;173;2238.000;1230.000"
"28;0;173;173;173;2219.333;1317.667"
