" ;Area;Mean;Min;Max;X;Y"
"1;0;173;173;173;813;1560"
"2;0;173;173;173;849;1419"
"3;0;173;173;173;858;1284"
"4;0;173;173;173;864;1125"
"5;0;173;173;173;876;945"
"6;0;173;173;173;879;822"
"7;0;173;173;173;891;726"
"8;0;173;173;173;894;645"
"9;0;173;173;173;897;531"
"10;0;173;173;173;921;144"
"11;0;173;173;173;627;306"
"12;0;173;173;173;573;402"
"13;0;173;173;173;528;579"
"14;0;173;173;173;525;696"
"15;0;173;173;173;513;822"
"16;0;173;173;173;468;975"
"17;0;173;173;173;474;1170"
"18;0;173;173;173;540;1335"
"19;0;173;173;173;645;1452"
"20;0;173;173;173;987;1473"
"21;0;173;173;173;1128;1383"
"22;0;173;173;173;1197;1206"
"23;0;173;173;173;1236;1020"
"24;0;173;173;173;1242;900"
"25;0;173;173;173;1245;738"
"26;0;173;173;173;1245;639"
"27;0;173;173;173;1230;486"
"28;0;173;173;173;1167;360"
