" ;Area;Mean;Min;Max;X;Y"
"1;0;173;173;173;582;1560"
"2;0;173;173;173;633;1293"
"3;0;173;173;173;630;1182"
"4;0;173;173;173;642;1080"
"5;0;173;173;173;654;936"
"6;0;173;173;173;660;789"
"7;0;173;173;173;675;711"
"8;0;173;173;173;681;606"
"9;0;173;173;173;690;504"
"10;0;173;173;173;726;111"
"11;0;173;173;173;474;312"
"12;0;173;173;173;348;432"
"13;0;173;173;173;318;573"
"14;0;173;173;173;315;699"
"15;0;173;173;173;267;774"
"16;0;173;173;173;255;933"
"17;0;173;173;173;252;1116"
"18;0;173;173;173;306;1272"
"19;0;173;173;173;426;1410"
"20;0;173;173;173;762;1413"
"21;0;173;173;173;870;1341"
"22;0;173;173;173;984;1197"
"23;0;173;173;173;999;1041"
"24;0;173;173;173;999;885"
"25;0;173;173;173;1002;738"
"26;0;173;173;173;993;627"
"27;0;173;173;173;990;480"
"28;0;173;173;173;960;372"
