" ;Area;Mean;Min;Max;X;Y"
"1;0;173;173;173;669.000;1737.000"
"2;0;173;173;173;720.000;1572.000"
"3;0;173;173;173;750.000;1434.000"
"4;0;173;173;173;789.000;1290.000"
"5;0;173;173;173;822.000;1110.000"
"6;0;173;173;173;852.000;939.000"
"7;0;173;173;173;882.000;849.000"
"8;0;173;173;173;894.667;740.000"
"9;0;173;173;173;909.333;653.333"
"10;0;173;173;173;989.333;241.667"
"11;0;173;173;173;604.000;424.333"
"12;0;173;173;173;561.333;508.333"
"13;0;173;173;173;516.000;688.333"
"14;0;173;173;173;526.667;815.333"
"15;0;173;173;173;454.667;907.333"
"16;0;173;173;173;418.667;1081.667"
"17;0;173;173;173;406.667;1284.667"
"18;0;173;173;173;461.333;1476.667"
"19;0;173;173;173;538.667;1602.333"
"20;0;173;173;173;841.333;1669.000"
"21;0;173;173;173;1020.000;1543.667"
"22;0;173;173;173;1122.667;1414.333"
"23;0;173;173;173;1174.667;1230.333"
"24;0;173;173;173;1205.333;1058.667"
"25;0;173;173;173;1206.667;951.667"
"26;0;173;173;173;1218.667;842.333"
"27;0;173;173;173;1246.667;667.667"
"28;0;173;173;173;1245.333;518.333"
