" ;Area;Mean;Min;Max;X;Y"
"1;0;173;173;173;877.667;1658.667"
"2;0;173;173;173;848.333;1449.333"
"3;0;173;173;173;853.667;1317.333"
"4;0;173;173;173;859.000;1198.667"
"5;0;173;173;173;867.000;1068.000"
"6;0;173;173;173;868.333;933.667"
"7;0;173;173;173;867.000;878.667"
"8;0;173;173;173;857.667;760.333"
"9;0;173;173;173;859.000;680.333"
"10;0;173;173;173;883.000;274.333"
"11;0;173;173;173;577.667;518.667"
"12;0;173;173;173;547.000;626.667"
"13;0;173;173;173;545.667;761.333"
"14;0;173;173;173;547.000;867.000"
"15;0;173;173;173;513.667;944.333"
"16;0;173;173;173;504.333;1099.667"
"17;0;173;173;173;528.333;1261.667"
"18;0;173;173;173;571.000;1398.000"
"19;0;173;173;173;659.000;1507.333"
"20;0;173;173;173;1000.333;1517.000"
"21;0;173;173;173;1097.667;1410.333"
"22;0;173;173;173;1169.667;1270.000"
"23;0;173;173;173;1192.333;1113.000"
"24;0;173;173;173;1169.667;981.333"
"25;0;173;173;173;1120.333;862.667"
"26;0;173;173;173;1156.333;770.333"
"27;0;173;173;173;1149.667;619.667"
"28;0;173;173;173;1136.333;505.000"
