" ;Area;Mean;Min;Max;X;Y"
"1;0;173;173;173;2077;468"
"2;0;170;170;170;2109;626"
"3;0;173;173;173;2113;709"
"4;0;173;173;173;2115;774"
"5;0;173;173;173;2111;837"
"6;0;173;173;173;2118;914"
"7;0;173;173;173;2123;956"
"8;0;173;173;173;2122;1017"
"9;0;173;173;173;2124;1082"
"10;0;173;173;173;2146;1382"
"11;0;173;173;173;1928;1194"
"12;0;173;173;173;1877;1125"
"13;0;173;173;173;1863;1009"
"14;0;173;173;173;1856;922"
"15;0;173;173;173;1858;873"
"16;0;173;173;173;1872;822"
"17;0;173;173;173;1879;749"
"18;0;173;173;173;1864;638"
"19;0;173;173;173;1958;565"
"20;0;173;173;173;2216;532"
"21;0;173;173;173;2314;635"
"22;0;173;173;173;2322;709"
"23;0;173;173;173;2330;771"
"24;0;173;173;173;2343;826"
"25;0;173;173;173;2351;891"
"26;0;173;173;173;2348;982"
"27;0;173;173;173;2360;1112"
"28;0;173;173;173;2343;1181"
