 ,Area,Mean,Min,Max,X,Y
1,0,173,173,173,1116.000,1734.000
2,0,173,173,173,1133.500,1565.500
3,0,173,173,173,1157.500,1391.500
4,0,173,173,173,1172.500,1262.500
5,0,173,173,173,1181.500,1103.500
6,0,173,173,173,1190.500,980.500
7,0,173,173,173,1193.500,911.500
8,0,173,173,173,1196.500,806.500
9,0,173,173,173,1187.500,671.500
10,0,173,173,173,1178.500,314.500
11,0,173,173,173,935.500,551.500
12,0,173,173,173,893.500,653.500
13,0,173,173,173,872.500,797.500
14,0,173,173,173,872.500,905.500
15,0,173,173,173,839.500,986.500
16,0,173,173,173,779.500,1127.500
17,0,173,173,173,815.500,1301.500
18,0,173,173,173,869.500,1469.500
19,0,173,173,173,956.500,1589.500
20,0,173,173,173,1295.500,1598.500
21,0,173,173,173,1406.500,1508.500
22,0,173,173,173,1475.500,1349.500
23,0,173,173,173,1499.500,1175.500
24,0,173,173,173,1502.500,1022.500
25,0,173,173,173,1481.500,911.500
26,0,173,173,173,1493.500,809.500
27,0,173,173,173,1466.500,629.500
28,0,173,173,173,1451.500,491.500
