" ;Area;Mean;Min;Max;X;Y"
"1;0;173;173;173;1776.000;392.333"
"2;0;170;170;170;1770.667;512.333"
"3;0;173;173;173;1762.667;605.667"
"4;0;173;173;173;1776.000;683.000"
"5;0;173;173;173;1770.667;739.000"
"6;0;173;173;173;1774.667;811.000"
"7;0;173;173;173;1777.333;869.667"
"8;0;173;173;173;1772.000;944.333"
"9;0;173;173;173;1774.667;1012.333"
"10;0;173;173;173;1768.000;1281.000"
"11;0;173;173;173;1564.000;1118.333"
"12;0;173;173;173;1509.333;1022.333"
"13;0;173;173;173;1529.333;924.333"
"14;0;173;173;173;1530.667;841.667"
"15;0;173;173;173;1538.667;779.667"
"16;0;173;173;173;1548.000;714.333"
"17;0;173;173;173;1545.333;653.000"
"18;0;173;173;173;1568.000;555.333"
"19;0;173;173;173;1634.667;468.667"
"20;0;173;173;173;1896.000;472.667"
"21;0;173;173;173;1949.333;560.667"
"22;0;173;173;173;1969.333;652.667"
"23;0;173;173;173;1980.000;719.667"
"24;0;173;173;173;1957.333;786.333"
"25;0;173;173;173;1968.000;851.667"
"26;0;173;173;173;1981.333;919.667"
"27;0;173;173;173;1974.667;1011.667"
"28;0;173;173;173;1937.333;1093.000"
