ID ;Area;Mean;Min;Max;X;Y
Jp_2_f;0;173;173;173;1061.000;1622.667
Jp_2_f;0;173;173;173;1089.000;1424.000
Jp_2_f;0;173;173;173;1095.667;1289.333
Jp_2_f;0;173;173;173;1115.667;1150.667
Jp_2_f;0;173;173;173;1111.667;996.000
Jp_2_f;0;173;173;173;1115.667;862.333
Jp_2_f;0;173;173;173;1111.667;796.333
Jp_2_f;0;173;173;173;1111.667;692.333
Jp_2_f;0;173;173;173;1113.000;563.000
Jp_2_f;0;173;173;173;1089.000;137.000
Jp_2_f;0;173;173;173;825.000;392.333
Jp_2_f;0;173;173;173;794.333;514.000
Jp_2_f;0;173;173;173;787.667;678.333
Jp_2_f;0;173;173;173;782.333;795.000
Jp_2_f;0;173;173;173;762.333;931.333
Jp_2_f;0;173;173;173;775.667;1091.000
Jp_2_f;0;173;173;173;785.000;1251.667
Jp_2_f;0;173;173;173;818.333;1392.000
Jp_2_f;0;173;173;173;917.000;1516.000
Jp_2_f;0;173;173;173;1265.000;1530.667
Jp_2_f;0;173;173;173;1338.333;1397.333
Jp_2_f;0;173;173;173;1406.333;1275.667
Jp_2_f;0;173;173;173;1434.333;1097.000
Jp_2_f;0;173;173;173;1427.667;947.000
Jp_2_f;0;173;173;173;1438.333;798.333
Jp_2_f;0;173;173;173;1427.667;675.333
Jp_2_f;0;173;173;173;1422.333;512.333
Jp_2_f;0;173;173;173;1358.333;406.667
