ID;Area;Mean;Min;Max;X;Y
Ji_6_f;0;173;173;173;877.667;1658.667
Ji_6_f;0;173;173;173;848.333;1449.333
Ji_6_f;0;173;173;173;853.667;1317.333
Ji_6_f;0;173;173;173;859.000;1198.667
Ji_6_f;0;173;173;173;867.000;1068.000
Ji_6_f;0;173;173;173;868.333;933.667
Ji_6_f;0;173;173;173;867.000;878.667
Ji_6_f;0;173;173;173;857.667;760.333
Ji_6_f;0;173;173;173;859.000;680.333
Ji_6_f;0;173;173;173;883.000;274.333
Ji_6_f;0;173;173;173;577.667;518.667
Ji_6_f;0;173;173;173;547.000;626.667
Ji_6_f;0;173;173;173;545.667;761.333
Ji_6_f;0;173;173;173;547.000;867.000
Ji_6_f;0;173;173;173;513.667;944.333
Ji_6_f;0;173;173;173;504.333;1099.667
Ji_6_f;0;173;173;173;528.333;1261.667
Ji_6_f;0;173;173;173;571.000;1398.000
Ji_6_f;0;173;173;173;659.000;1507.333
Ji_6_f;0;173;173;173;1000.333;1517.000
Ji_6_f;0;173;173;173;1097.667;1410.333
Ji_6_f;0;173;173;173;1169.667;1270.000
Ji_6_f;0;173;173;173;1192.333;1113.000
Ji_6_f;0;173;173;173;1169.667;981.333
Ji_6_f;0;173;173;173;1120.333;862.667
Ji_6_f;0;173;173;173;1156.333;770.333
Ji_6_f;0;173;173;173;1149.667;619.667
Ji_6_f;0;173;173;173;1136.333;505.000
