ID;Area;Mean;Min;Max;X;Y
Ja_1_f;0;121;121;121;789;1788
Ja_1_f;0;173;173;173;794.5;1592.5
Ja_1_f;0;173;173;173;800.5;1436.5
Ja_1_f;0;173;173;173;803.5;1286.5
Ja_1_f;0;173;173;173;791.5;1148.5
Ja_1_f;0;173;173;173;794.5;992.5
Ja_1_f;0;173;173;173;785.5;902.5
Ja_1_f;0;173;173;173;791.5;842.5
Ja_1_f;0;173;173;173;788.5;680.5
Ja_1_f;0;173;173;173;797.5;230.5
Ja_1_f;0;173;173;173;524.5;503.5
Ja_1_f;0;173;173;173;467.5;653.5
Ja_1_f;0;173;173;173;431.5;806.5
Ja_1_f;0;173;173;173;440.5;935.5
Ja_1_f;0;173;173;173;386.5;1058.5
Ja_1_f;0;173;173;173;380.5;1205.5
Ja_1_f;0;173;173;173;413.5;1388.5
Ja_1_f;0;173;173;173;491.5;1553.5
Ja_1_f;0;173;173;173;599.5;1670.5
Ja_1_f;0;173;173;173;962.5;1688.5
Ja_1_f;0;173;173;173;1151.5;1601.5
Ja_1_f;0;173;173;173;1199.5;1406.5
Ja_1_f;0;173;173;173;1208.5;1196.5
Ja_1_f;0;173;173;173;1202.5;1061.5
Ja_1_f;0;173;173;173;1172.5;941.5
Ja_1_f;0;173;173;173;1160.5;812.5
Ja_1_f;0;173;173;173;1160.5;659.5
Ja_1_f;0;173;173;173;1115.5;488.5
