ID;Area;Mean;Min;Max;X;Y
Jp_7_f;0;173;173;173;953;1567
Jp_7_f;0;173;173;173;984;1366
Jp_7_f;0;173;173;173;999;1229
Jp_7_f;0;173;173;173;1006;1086
Jp_7_f;0;173;173;173;1037;926
Jp_7_f;0;173;173;173;1060;791
Jp_7_f;0;173;173;173;1072;695
Jp_7_f;0;173;173;173;1087;597
Jp_7_f;0;173;173;173;1110;479
Jp_7_f;0;173;173;173;1136;109
Jp_7_f;0;173;173;173;858;314
Jp_7_f;0;173;173;173;777;434
Jp_7_f;0;173;173;173;744;578
Jp_7_f;0;173;173;173;731;677
Jp_7_f;0;173;173;173;700;783
Jp_7_f;0;173;173;173;672;935
Jp_7_f;0;173;173;173;655;1107
Jp_7_f;0;173;173;173;717;1278
Jp_7_f;0;173;173;173;812;1392
Jp_7_f;0;173;173;173;1125;1430
Jp_7_f;0;173;173;173;1243;1353
Jp_7_f;0;173;173;173;1341;1197
Jp_7_f;0;173;173;173;1382;1034
Jp_7_f;0;173;173;173;1379;899
Jp_7_f;0;173;173;173;1369;794
Jp_7_f;0;173;173;173;1399;706
Jp_7_f;0;173;173;173;1418;518
Jp_7_f;0;173;173;173;1371;371
